一 ○ 四 年 度 公 路 平 均 每 日 交 通 量 調 查 統 計 表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填報單位：交通部公路總局第五區養護工程處,,,,,,,,,,,,,,,,,,,,,,,,,,,    調查週期：定期按年辦理,,
縣,調      查      站,,,,路,起 迄 地 名,起 迄 樁 號,"地
形","里
程","路
面
寬
度","方
向",車道佈設,,,總        計,,各  車  種  車  輛  數  (輛/日),,,,,,,尖峰小時,,方,備,,
市,編,地,樁,座,線,,,,,,,"快車道
寛    度",機慢車道寛度,"路肩
寛度",流,車,合,小,大,大,"全
聯
結
車","半
聯
結
車",機,,,向,,,
, ,,,,編,,,,,,,,,,量,公,,型,客,貨,,,,交通量,時段,係,,,
別,號,點,號,標,號,,,,(公里),(公尺),(往),(公尺),(公尺),(公尺),(PCU),里,計,車,車,車,,,車,(PCU),,數,註,,
澎湖縣,Ⅲ-601,興仁,0K+500,"E119'36'34.4""",201線,興仁~五德,0K+000~4K+000,平原區,4,16.4,北,"3.4,3.5",0,1.2,"5,533 ","27,476 ","6,869","3,103 ",39 ,134 ,0 ,6 ,"3,587 ",698 ,07-08,0.52,,,
,,,,"N23'32'54.4""",,,,,,,南,"3.4,3.5",0,1.2,"5,078 ","25,112 ","6,278","2,932 ",26 ,106 ,0 ,8 ,"3,206 ",522 ,17-18,,,,
澎湖縣,Ⅲ-602,井垵,5K+650,"E119'34'31.9""",201線,五德~風櫃,4K+000~10K+560,平原區,6.6,15.7,北,"3.5,3.5",0,0.6,"1,846 ","15,556 ","2,357",978 ,38 ,7 ,0 ,0 ,"1,334 ",252 ,07-08,0.51,,,
,,,,"N23'31'9.9""",,,,,,,南,"3.5,4.0",0,0.4,"1,793 ","15,239 ","2,309",930 ,25 ,13 ,0 ,0 ,"1,341 ",239 ,17-18,,,,
,,,,,,合計,,,10.6,,,,,," 14,250 "," 83,383 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,Ⅲ-603,東衛,0K+700,"E119'36'16.6""",202線,東衛~西溪,0K+000~6K+000,平原區,6,15.9,東,"3.3,3.5",0,1.0,"4,417 ","32,910 ","5,485","2,507 ",35 ,101 ,0 ,0 ,"2,842 ",410 ,17-18,0.51,,,
,,,,"N23'34'10.9""",,,,,,,西,"3.3,4.0",0,0.6,"4,687 ","34,824 ","5,804","2,674 ",31 ,115 ,0 ,1 ,"2,983 ",651 ,07-08,,,,
澎湖縣,Ⅲ-604,南寮,8K+400,"E119'40'5.6""",202線,西溪~裡正角,6K+000~12K+631,平原區,6.6,18.4,東,"3.5,4.0",0,1.0,827 ,"7,352 ","1,114",376 ,6 ,3 ,0 ,0 ,729 ,91 ,16-17,0.50,,,
,,,,"N23'34'58.2""",,,,,,,西,"3.5,4.0",0,1.0,866 ,"7,498 ","1,136",407 ,20 ,3 ,0 ,0 ,706 ,113 ,07-08,,,,
,,,,,,合計,,,12.6,,,,,," 10,797 "," 82,584 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,Ⅲ-605,地方法院,1K+000,"E119'34'9.0""",203線,馬公~潮音寺,0K+000~2K+500,平原區,2.5,10.8,北,4.8,0,0.5,"3,395 ","10,788 ","4,315","1,919 ",164 ,21 ,0 ,0 ,"2,211 ",654 ,07-08,0.53,,,
,,,,"N23'34'10.2""",,,,,,,南,4.8,0,0.5,"3,036 ","9,728 ","3,891","1,650 ",164 ,13 ,0 ,0 ,"2,064 ",0 ,0 ,,,,
澎湖縣,Ⅲ-606,電力公司,3K+000,"E119'35'7.3""",203線,潮音寺~東衛,2K+500~4K+000,平原區,1.5,18.4,北,"3.4,3.5",0,2.2,"9,225 ","17,506 ","11,671","5,175 ",96 ,67 ,0 ,2 ,"6,331 ",949 ,07-08,0.51,,,
